Model,acc,prec,rec,f1,roc_auc,pr_auc,ModelSizeMB,kNN_k,embedder,mutual_kNN,label_smoothing
Improved,0.939157566302652,0.8821708653313276,0.8753490765465065,0.8767845275119124,0.9906887541219268,0.922131866504046,0.83,10,sentence-transformers/all-mpnet-base-v2,True,0.05
Improved+BestHP,0.6489859594383776,0.3103454757641357,0.244827362409138,0.2419573693047611,0.9607088250791084,0.7563551658697689,0.83,15,sentence-transformers/all-mpnet-base-v2,True,0.05
Improved+BestHP(tuning),0.921996879875195,0.8392867855891903,0.8482127404440488,0.8414664257724865,0.9877477077496553,0.9007545379244407,0.83,15,sentence-transformers/all-mpnet-base-v2,True,0.05
